Link,Preis,Beschreibung,Details,Adresse,Features,Vollständige_Adresse,Latitude,Longitude,created_date,closed_date,Preis_cleaned,Wohnfläche,Grundstücksfläche,Zimmer,Preis_pro_qm
https://www.immowelt.de/expose/bbc45e2b-a3e9-4139-9b82-606606d4f35a,352.000 € 4.655 €/m²,Wohnung zum Kauf,"3 Zimmer·75,6 m²","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2025; Tiefgarage; Personenaufzug; Balkon; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,352000.0,75.6,,3.0,4656.084656084657
https://www.immowelt.de/expose/54dcb821-8683-4163-8d93-58b07cb87ac4,620.000 € 1.746 €/m²,Mehrfamilienhaus zum Kauf,13 Zimmer·355 m²,"Matthias 3, Trier (54290)","Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster; voll unterkellert; Bodenbelag: Fliesen, Laminat; als Kapitalanlage geeignet",Keine Adresse gefunden,,,2024-12-31,,620000.0,355.0,,13.0,1746.4788732394366
https://www.immowelt.de/expose/b2e74f61-38fe-424b-bc4f-2fd772f411d0,449.000 € 2.993 €/m²,Wohnung zum Kauf,4 Zimmer·150 m²·1. Geschoss,"Barbara 5, Trier (54290)","Bezug nach Absprache; Stellplatz; 1. Geschoss; Bad mit Dusche; Einbauküche; Kelleranteil; Terrasse; Bodenbelag: Fliesen, Parkett, Teppich",Keine Adresse gefunden,,,2024-12-31,,449000.0,150.0,,4.0,2993.3333333333335
https://www.immowelt.de/expose/89ee5085-4d92-4b97-aa43-509b2f4aaeb7,2.190.000 € 4.977 €/m²,Mehrfamilienhaus zum Kauf,19 Zimmer·440 m²·350 m² Grundstück,"Alt-Kürenz 1, Trier (54295)","2025; Duplex-Stellplatz; Balkon; Barrierefrei; kontrollierte Be- und Entlüftungsanlage; Badezimmer: Badewanne, Bad mit Dusche; WG-geeignet; voll unterkellert",Keine Adresse gefunden,,,2024-12-31,,2190000.0,440.0,350.0,19.0,4977.272727272727
https://www.immowelt.de/projekte/expose/k2wz432,359.000 € 4.957 €/m²,Penthouse zum Kauf,"2 Zimmer·72,4 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,359000.0,72.4,,2.0,4958.563535911602
https://www.immowelt.de/projekte/expose/k2wz432,479.000 € 5.058 €/m²,Wohnung zum Kauf,"3 Zimmer·94,7 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,479000.0,94.7,,3.0,5058.078141499472
https://www.immowelt.de/expose/14df6e54-3c3b-492e-b849-9db96abb6a96,750.000 € 3.074 €/m²,Einfamilienhaus zum Kauf,244 m²,"Neu-Heiligkreuz 4, Trier (54295)","3 Stellplätze: Garage, 2 Außen-Stellplätze; Bidet; Waschraum; voll unterkellert; voll klimatisiert; Bodenbelag: Laminat, Stein; Sauna; Fernblick",Keine Adresse gefunden,,,2024-12-31,,750000.0,244.0,,,3073.7704918032787
https://www.immowelt.de/projekte/expose/k24d632,556.100 € 5.576 €/m²,Wohnung zum Kauf,"3 Zimmer·99,7 m²","Maximin 4, Trier (54292)",,Keine Adresse gefunden,,,2024-12-31,,556100.0,99.7,,3.0,5577.733199598796
https://www.immowelt.de/projekte/expose/k24d632,431.900 € 5.582 €/m²,Wohnung zum Kauf,"3 Zimmer·77,4 m²","Maximin 4, Trier (54292)",,Keine Adresse gefunden,,,2024-12-31,,431900.0,77.4,,3.0,5580.103359173127
https://www.immowelt.de/projekte/expose/k2wz432,514.000 € 4.883 €/m²,Wohnung zum Kauf,"4 Zimmer·105,3 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,514000.0,105.3,,4.0,4881.291547958214
https://www.immowelt.de/projekte/expose/k24d632,643.000 € 5.636 €/m²,Maisonette zum Kauf,"4 Zimmer·114,1 m²","Maximin 4, Trier (54292)",,Keine Adresse gefunden,,,2024-12-31,,643000.0,114.1,,4.0,5635.407537248028
https://www.immowelt.de/projekte/expose/k24d632,878.000 € 5.874 €/m²,Maisonette zum Kauf,"5 Zimmer·149,5 m²","Maximin 4, Trier (54292)",,Keine Adresse gefunden,,,2024-12-31,,878000.0,149.5,,5.0,5872.909698996656
https://www.immowelt.de/expose/90187034-063e-464a-932c-7870377597d6,57.000 € 3.063 €/m²,Wohnung zum Kauf,"1 Zimmer·18,6 m²·2. Geschoss·frei ab sofort","Nordallee 3, Maximin 6, Trier (54292)",Frei ab sofort; 2. Geschoss; Einbauküche; vermietet,Keine Adresse gefunden,,,2024-12-31,,57000.0,18.6,,1.0,3064.516129032258
https://www.immowelt.de/expose/a410103a-b112-45b5-8134-9b2634526ea2,716.000 € 4.997 €/m²,Penthouse zum Kauf,"4 Zimmer·143,3 m²·frei ab sofort","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2025; Tiefgarage; Personenaufzug; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss; Fenster: Kunststoff",Keine Adresse gefunden,,,2024-12-31,,716000.0,143.3,,4.0,4996.510816468945
https://www.immowelt.de/expose/a4ad698e-5a46-47b1-959c-f52f026fbbc1,78.000 € 3.900 €/m²,Wohnung zum Kauf,1 Zimmer·20 m²·EG·frei ab sofort,"Alt-Kürenz 3, Trier (54290)","Erdgeschoss; Bad mit Dusche; Einbauküche, Kochnische, Offene Küche; Bodenbelag: Laminat; Fenster: Kunststoff",Keine Adresse gefunden,,,2024-12-31,,78000.0,20.0,,1.0,3900.0
